1,Titanic,Nothing On Earth Could Come Between Them. Collide With Destiny.,6
2,Avatar,A new home. Discover a new world. Enter the world of Avatar.,7
3,Sharknado,Enough said!,8
4,American Pie,There's something about your first piece.,10
5,Goodfellas,Three Decades of Life in the Mafia.,8
6,Limitless,What if a pill could make you rich and powerful?,8
7,Shutter Island,Someone is missing,9
8,The Matrix,Reality is a thing of the past.,9
9,Alien,In space no one can hear you scream.,9
10,Aliens,There are some places in the universe you don't go alone.,10
11,Mad Max,When the gangs take over the highway … Remember he's on your side,8
12,Home Alone,A Family Comedy Without The Family.,10
13,Ali G Indahouse,Cleaning Da Filth From Da PM's Hood,10
14,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Come to Kazakhstan, It's Nice!,10